000_Brasserie,Bière,,Type_Precis,Type_gen,,Style,Kingdom,UntappdRating,UntappdNumber,IBU,Cara60,Cara160,Caraaroma,Carabohemian,Chocolate,Crystal60L,Crystal foncé,Munich,Pilsner,2 rangs,Vienna,Wheat,Cascade Québec,Citra,Centennial,Cascade,Cascade amarillo,Goldings,Mandarina Bavaria,Mittlefruh,Mozaïc,Nugget,Perle,Simcoe,Willamette,Unspecified,Blé,Carafa,Avoine,Seigle,Hibiscus,Coriandre,Unspecified,Poivre,Cerise,Noix,Cafe,Cereales,Epices,Coriandre,Fleur,Herbacee,Noisette,Poivre,Réglisse,Romarin,Sel de mer,Sèche,Agrume,Ananas,Bleuet,Framboise surette,Fruit de la passion,Fruite,Fruit rouge,Génévrier,Mure,Lime,Limonade surette,Pamplemousse,Zeste d'orange,Caramel,Chocolat,Chocolat Noir,Miel,Boise,Bourbon,Brandy,Whisky,Non-specifié,Terreux,Betterave,Champignon,Salade verte,Pimets,Fromage,Fromage de chèvre,Fromage fort,Gateau,Chocolat,Pain aux bananes,Pralines,Tarte,Barbacue,Boeuf,Brochette,Burger,Cheeseburger,Cochon,Gibier,Poisson,Poulet,Viandes fumées,Pad thai,Type de contenant,,,,,,,,,,,,,,,,,,,
Microbrasserie Le Trou du diable,Boisson d'avril,TDDBoissonDavril,Kellerbier,Kellerbier,Kellerbier,German,Lager,3.57,877,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Le Trou du diable,La butteuse,,Tripel,Tripel,StrongPaleAle,Belgian,Ale,3.92,6405,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Le Trou du diable,Le Sang d'encre,TdDSangdEncre,IrishStout,Stout,Stout,Irish,Ale,3.73,6377,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown600,,,,,,,,,,,,,,,,,,,
Microbrasserie Le Trou du diable,Saison du tracteur,TdDSaisonDuTracteur,Farmhouse,Farmhouse,Farmhouse,,Ale,3.74,12971,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,APA,LTMAPA,APA,APA,PaleAle,American,Ale,3.56,1923,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Gose,LTMGose,Gose,Gose,Weissbier,German,Ale,3.55,6968,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,Brown375,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Grande cuvée,LTMGrandeCuvee,PorterBaltique,Porter,Porter,,Lager,4.37,1946,30,1,1,,,,,,1,1,,,,1,,,,,,1,,,,1,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,Brown750,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Porter baltic,LTMPorterBaltique,PorterBaltique,Porter,Porter,,Lager,4.09,9003,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Saison Brett,LTMSaisonBrettFut,FarmhouseBrett,Farmhouse,Farmhouse,Belgian,Ale,3.87,4206,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown750,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Saison Brett,LTMSaisonBrett,FarmhouseBrett,Farmhouse,Farmhouse,Belgian,Ale,3.87,4206,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Stick alt,LTMStickaltFut,Brown,Altbier,Altbier,German,Lager,3.55,2861,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Maibock,LTMMaibock,Blonde,Maibock,Bock,German,Lager,3.55,3156,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Les Trois Mousquetaires,Rousse,LTMRousse,Amber,ViennaLager,ViennaLager,German,Lager,3.24,476,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microbrasserie nouvelle-france,Ambree de sarrasin,NouvelleFranceAmbreeDeSarrasin,Reb,Amber,PaleAle,American,Ale,3.16,174,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Pit Caribou,Blanche de pratto,PitCaribouBlanchedePrato,BlancheBle,Witbier,Witbier,,Ale,3.66,1738,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Microbrasserie Pit Caribou,Bonne aventure,PitCaribouBonneAventure,Rousse,Rousse,Rousse,American,Ale,3.58,1979,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Microbrasserie Pit Caribou,Lessep,PitCaribouLessep,SessionIPA,IPA,PaleAle,,Ale,3.84,1622,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Microbrasserie Ras L'Bock,P'tite vingnenne,Ras l'bockP'tite vingnenne,Fruit,Fruit,Lambic,,Ale,3.83,102,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown2000,,,,,,,,,,,,,,,,,,,
Microbrasserie Riverbend,Berliner Weisse,RiverbendBerlinerWeisse,Sour,BerlinerWeisse,Weissbier,German,Ale,3.48,675,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can473,,,,,,,,,,,,,,,,,,,
Microbrasserie Riverbend,Kölsch Américaine,RiverbendKolsch,Kolsch,Kolsch,Kolsch,German,Lager,3.4116045,160,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Riverbend,Porter,RiverbendPorter,SweetPorter,Porter,Porter,,Ale,3.52,677,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Vox Populi,Anna,VoxPopuliAnna,Tripel,Tripel,StrongPaleAle,Belgian,Ale,4.03,1948,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molson coors,Belgian moon,MolsonBelgianMoon,blanche blege,blanche blege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Molson coors,Carling,MolsonCarling,Lager blonde,Lager blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Molson coors,Carling Black Label,MolsonBlackLabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molson coors,Export,MolsonExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molson coors,Coors Light,MolsonCoorsLight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monsregius,Meridia,MonsregiusMeridia,Tripel,Tripel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-brasse,Amoureuse,MultiBrasseAmoureuse,Fruit,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-brasse,Ruée vers Gould,MultiBrasseLaRueeVersGoulau,Scotch ale,Scotch ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pub Bilboquet,Brown ale,BilboquetBrownAle,Brune,Brune,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
pub Bilboquet,Peau d'ours,BilboquetPeaudOurs,APA,APA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Saint-Houblon,Hefeweizen,StHoublonHefeweizen,Blanche,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Saint-Houblon,IPA belge,StHoublonIPABelge,IPA,IPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,Différence avec Cask?,,,,,,,,,,,,,,,,,,
Saint-Houblon,Vin d'orge,StHoublonVinOrge,Vin d'orge,Vin d'orge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,"À vérifier, c'était fût",,,,,,,,,,,,,,,,,,
St-Arnould,Vlimeuse,StArnouldVlimeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutton Brouerie,Iroquois,SuttonIroquoi,Porter Robuste,Porter Robuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Sutton Brouerie,Black Lynx,SuttonBlackLynx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,Blanche de Chambly,UnibroueBlancheChambly,Blanche,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,Fin du monde,UnibroueFinDuMonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,Ephemere Cassis,UnibroueCassis,Fruit,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,Ephemere Framboise,UnibroueFramboise,Fruit,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,Ephemere Pomme,UnibrouePomme,Fruit,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,U Blonde,UnibroueUBlonde,Blonde,Blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,Trois Pistoles,UnibroueTroisPistoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unibroue,Maudite,UnibroueMaudite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
