000_Brasserie,Bière,,Type_Precis,Type_gen,,Style,Kingdom,UntappdRating,UntappdNumber,IBU,Cara60,Cara160,Caraaroma,Carabohemian,Chocolate,Crystal60L,Crystal foncé,Munich,Pilsner,2 rangs,Vienna,Wheat,Cascade Québec,Citra,Centennial,Cascade,Cascade amarillo,Goldings,Mandarina Bavaria,Mittlefruh,Mozaïc,Nugget,Perle,Simcoe,Willamette,Unspecified,Blé,Carafa,Avoine,Seigle,Hibiscus,Coriandre,Unspecified,Poivre,Cerise,Noix,Cafe,Cereales,Epices,Coriandre,Fleur,Herbacee,Noisette,Poivre,Réglisse,Romarin,Sel de mer,Sèche,Agrume,Ananas,Bleuet,Framboise surette,Fruit de la passion,Fruite,Fruit rouge,Génévrier,Mure,Lime,Limonade surette,Pamplemousse,Zeste d'orange,Caramel,Chocolat,Chocolat Noir,Miel,Boise,Bourbon,Brandy,Whisky,Non-specifié,Terreux,Betterave,Champignon,Salade verte,Pimets,Fromage,Fromage de chèvre,Fromage fort,Gateau,Chocolat,Pain aux bananes,Pralines,Tarte,Barbacue,Boeuf,Brochette,Burger,Cheeseburger,Cochon,Gibier,Poisson,Poulet,Viandes fumées,Pad thai,Type de contenant,,,,,,,,,,,,,,,,,,,
Brasserie Generale,Brumaire,BGBrumaire,WeeHeavy,Scotch,StrongPaleAle,Scotish,Ale,3.73,276,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie Generale,Hanami,BGHanami,Fruit,Fruit,Lambic,,Ale,3.43,923,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Brasserie Les 2 Frères,Charles Henri Ambree,LDFAmbree,Amber,Amber,PaleAle,American,Ale,3.52,1860,31,,,,,,1,,,,1,,1,,,,1,,1,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Brasserie Les 2 Frères,Charles Henri Blanche,LDFBlanche,Blanche,Witbier,Witbier,Belgian,Ale,3.44,1906,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie Les 2 Frères,Charles Henri Blonde,LDFBlonde,Blonde,Blonde,PaleAle,American,Ale,3.29,626,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie Les 2 Frères,Hickson Porter Baltique,LDFPorterBaltique,PorterBaltique,Porter,Porter,,Lager,3.73,1558,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie Les 2 Frères,Hickson IPA impériale,LDFImperialIPA,DoubleIPA,IPA,StrongPaleAle,,Ale,3.64,2.339,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie McAuslan,Blonde,McAuslanBlonde,Blonde,APA,PaleAle,American,Ale,3.15,2046,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie McAuslan,Citrouille,McAuslanCitrouille,Fruit,Fruit,Lambic,,Ale,3.49,11497,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie McAuslan,IPA,McAuslanIPA,IPA,IPA,PaleAle,English,Ale,3.39,9958,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie McAuslan,Porter baltic,McAuslanPorterBaltique,PorterBaltique,Porter,Porter,,Lager,3.65,976,42,,,1,1,1,1,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasserie Mille-Îles,APA,MilleIlesAPA,APA,APA,PaleAle,American,Ale,3.77,753,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Brasserie Mille-Îles,Best bitter,MillesIlesBestBitterFut,EnglishBitter,Bitter,PaleAle,English,Ale,3.49,357,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Brasserie Schoune,Délire,,Tripel,Tripel,StrongDarkAle,Belgian,Ale,3.51,26,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie Vrooden,Berliner Weisse,VroodenBerlinerWeisse,BerlinerWeisse,BerlinerWeisse,Weissbier,German,Ale,3.49,278,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasserie Vrooden,Schwarzbier,VroodenSchwarzbier,Schwarzbier,Schwarzbier,Schwarzbier,German,Lager,3.73,437,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brasseurs du monde,Blanche,BDMBlancheCan,BlancheBle,Hefeweizen,Weissbier,German,Ale,3.27,744,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,Can355,,,,,,,,,,,,,,,,,,,
Refuge des Brasseurs,Bunker,RDBBunker,APA,APA,PaleAle,American,Ale,3.72,631,NA,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,,1,1,,,Brown500,,,,,,,,,,,,,,,,,,,
Brasseurs du monde,célébrante 375,BDMCelebrante,Blonde,Champagne,Champagne,Belgian,Ale,3.47,470,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brasseurs du monde,Druide,BDMDruide,Gruit,Farmhouse,Cervoise,Belgian,Ale,3.43,231,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,,,,1,,,1,,,Brown500,,,,,,,,,,,,,,,,,,,
brasseurs du monde,L'exploité,BDMExploite,MilkStout,MilkStout,Stout,,Ale,3.79,1888,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
brasseurs du monde,L'interdite 60,BDMInterdite60,APA,APA,PaleAle,American,Ale,3.66,1721,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,1,,,Brown341,,,,,,,,,,,,,,,,,,,
brasseurs du monde,L'interdite 90,BDML'interdite 90,APA,APA,PaleAle,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brasseurs du monde,L'Occasion,BDMLoccasion,SessionIPA,IPA,PaleAle,,Ale,3.57,913,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brasseurs du monde,Maibock,BDMMaibock,,Maibock,Bock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
brasseurs du monde,Nectareus,BDMNectareus,Brown,Brown,Brown,English,Ale,3.55,1337,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brasseurs du monde,Rousse,BDMRousse,Red,Amber,PaleAle,Irish,Ale,3.18,805,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
brasseurs du monde,Trinqueur,BDMTrinqueur,WeeHeavy,Scotch,StrongPaleAle,Scotish,Ale,3.5,936,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown341,,,,,,,,,,,,,,,,,,,
Brasseurs Illimites,IPA,SMIPA,APA,APA,PaleAle,American,Ale,3.51,1486,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Brasseurs Illimites,Mosaic,SMMosaic,APA,APA,PaleAle,American,Ale,3.59,646,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Brasseurs Illimites,Rosemont,BISaisonRosemont,Farmhouse,Farmhouse,Farmhouse,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasseurs Illimites,Altbier,SMRousse,Rousse,Altbier,Altbier,German,Ale,3.47,735,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Brasseurs Illimites,Saison-session,SMSaisonSession,Farmhouse,Farmhouse,Farmhouse,Belgian,Ale,3.49,108,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Belle Gueule Rousse,BelleGueuleRousse,Rousse,Amber,PaleAle,American,Ale,3.13,2726,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Blonde d'achouffe,RJBlondeAchouffe,Golden,Blonde,Blonde,Belgian,Ale,3.48,1625,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Brune d'achouffe,RJBruneAchouffe,Brown,Brown,Dark/Brown,Belgian,Ale,3.47,946,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Canon,RJCanon,Doppelbock,Doppelbock,Bock,German,Lager,3.32,1028,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Cheval blanc double,RJChevalBlancDouble,IPA,IPA,PaleAle,Belgian,Ale,3.57,2597,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Coup de grisou,RJCoupGrisou,Specialty,Specialty,Specialty,,,3.52,2975,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Death Valley,RJDeathValley,DoubleIPA,IPA,StrongPaleAle,,Ale,3.55,4053,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Lochness,RJLochness,WeeHeavy,Scotch,StrongPaleAle,Scotish,Ale,3.26,987,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs Sans Gluten,APA,GlutenbergAPA,APA,APA,PaleAle,American,Ale,3,3490,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
BVM BREWERY,Blonde,BVMBlonde,Blonde,Blonde,PaleAle,American,Ale,2.6,533,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVM BREWERY,Rousse,BVMRousse,Rousse,Amber,PaleAle,American,Ale,2.95,169,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
