Beer	Fmax1	Fmax2	Fmax3	Fmax4	Fmax5	Fmax6	Fmax7	Fmax8
BDMLoccasion50x	1627.98250580374	2728.02383969541	1366.65833107925	205.254328829121	125.566466200853	162.871347171289	60.9065368466511	124.424315397069
MolsonBelgianMoon50x	3327.98036999131	4334.85604396776	668.111465678829	433.276276415036	303.084552162626	669.937226962109	114.24766474906	151.410401950062
RJDeathValley50x	4247.99834702402	6280.69909049227	1186.34004936162	563.988627080708	490.827161872254	759.012829559762	171.623176476497	223.454905343664
RiverbendBerlinerWeisse50x	3833.04264338697	4302.84880594183	1130.94967346481	349.515443120208	397.55023954008	234.837768941508	257.962812998881	248.456348559759
RJLochness100x	2709.26953933616	5774.50581339734	2802.75528503522	1617.23830032831	1401.34664411356	1018.17897953302	725.710459701382	234.139808141223
RJBlondeAchouffe50x	1918.94017423752	2663.03000843049	552.381624573146	209.808238407006	162.986686618178	437.187270080533	58.6540389569746	123.717735778168
RJBruneAchouffe100x	1174.32897544473	4478.12466677071	4384.44579759111	1393.22336329686	1182.54858728429	996.79309429934	609.522853044807	253.367198231561
DDCMoralite50x	4571.95844196439	6114.96799113134	919.604463955368	477.251113457968	363.188346651986	352.610165919492	133.153705783944	208.230271249665
UnibroueUBlonde50x	1170.29656727225	2536.45766786756	1329.89544055808	255.506708659308	178.464922721057	46.8967061497831	86.7753651099731	99.6500458185252
BDMInterdite6050x	1743.89400761276	4417.22663731245	3697.02602825376	365.50559277426	285.489696464287	175.122090243415	99.9334283253746	193.28678928197
StHoublonVinOrge100x	2802.49041397246	7040.46389523197	5313.84959661561	1323.14947536016	990.92458852114	778.042560825212	451.880497865881	267.138377389392
StHoublonIPABelge50x	624.928610303683	1828.11638094837	443.685772517698	221.650688213671	132.746860793137	707.056191400528	60.1606973553925	314.969234673879
StHoublonHefeweizen100x	2816.56233091769	4056.58962214094	1762.06082074712	548.061700392006	421.359043355622	421.359190362461	200.066023426513	103.801331479357
BVMRousse50x	1959.35587503584	2990.03987636007	1446.00931271113	868.938476521342	702.671871328123	527.181917527994	384.376950471787	147.986412359239
CharlevoixIPA50x	4346.89447192708	5647.43104532304	883.179394337993	300.782495140794	209.105158477835	463.289892495791	69.9106515481621	201.726600288441
MBPGrosseIle50x	2850.38742911958	4858.15231446476	1432.55064764313	759.117541269651	583.03793402682	290.638551231414	296.451695406971	181.328234905233
AbriTempetePalabre50x	4251.57046026529	3751.98794607796	759.517564778434	268.420558277011	149.905664111933	182.31067764506	71.6303078007724	169.375462566449
TDDBoissonDavril50x	4824.91648755803	5386.73870236821	666.911429632811	250.22018523925	170.817492169971	205.966800262662	72.4986333059359	155.227962359271
VroodenSchwarzbier100x	1588.83702887463	4391.91235716996	2644.03072160572	1817.54327330643	1304.19017274159	641.22264534336	671.741107261451	13.2223904553109
SantrolpoMontrealaise100x	0	339.450324681057	989.429365532016	1384.24636137798	941.644076640173	951.482401386817	593.725432356091	0
BarberieBitterPasseeDate50x	3108.13997150333	3923.65306945483	1093.4422082944	792.193465169604	704.503682494113	397.640696677163	355.408713944011	219.666825056807
GrimoireArmure50x	1998.8848291808	4861.14731811609	2945.75290298387	907.171397971552	829.144875605907	356.089284906105	406.594530757517	273.929337235682
GrandeAlleeRoseePaleAle50x	5994.59196024421	4968.85060392719	135.578783105531	381.929602117058	371.953165042307	373.5652550732	191.218459802641	359.829258040294
BWSeinDEsprit50x	918.607978419315	3376.61658930616	4117.13020160403	278.948539532096	219.824378577859	94.1417752982335	95.5173832275221	171.654821889516
BarberieCuivreeAuThe50x	3237.7819630591	3751.03929808717	632.671964429831	497.534029435642	492.669532229784	371.090319150105	235.920350369679	242.574402183206
AbriTempeteEcume50x	1968.04265059935	3119.71603446962	796.614500789584	307.277635172176	197.842456933129	137.888986633264	84.0898769440471	143.051781448862
LagabiereSouthshoreIPL50x	4052.42648104533	5381.05871990139	892.021059532055	401.441964880778	286.727318126203	371.661559877885	101.69922157885	243.084626375236
LesFreresHoublonSaintSeverePasseeDate50x	1139.17174841635	4624.0719968156	3489.55787756243	426.568815850575	402.173349578197	438.88714912257	68.5492519020916	307.766520106977
BDMCelebrante50x	3569.30797750155	5186.96745725475	2316.85257513279	368.710475896867	314.274912384098	351.822361127824	122.396352243753	236.54242896559
BockaleIPABlanche50x	3281.17654698264	3589.4947916986	1071.03370051673	313.677392687357	192.982418807126	168.548924422866	84.876431964595	158.741719251607
VroodenBerlinerWeisse50x	1309.86789883305	2709.46044595532	3081.66948433872	123.119501162212	49.9684244061571	0	55.0454082571908	72.4824227000459
LSJGrosMollet100x	171.450955938604	2976.92290115704	4009.73713052688	1294.52871957855	1090.3846754677	478.141542108521	669.526720611088	201.619452575808
BDMTrinqueur100x	1865.89850540937	8727.87793039949	8275.7378245515	3429.10548788981	3232.91644064839	1484.93543438801	1561.22457592934	386.977111623635
CastorWeeHeavySpeyside50x	1439.44766841805	5984.90974464062	4375.05062194526	1244.43869996023	1169.41222649375	581.550107773071	496.750177227892	281.156127028302
HelmBernard50x	3493.79812721978	4616.60377283398	769.372078807775	518.08661243631	394.952121378641	409.02696684075	186.590044374708	192.559795004062
HelmHutchiblanco50x	4176.05191695337	4325.64706031425	1334.17235713975	290.869985137167	164.294242284026	277.867021032973	73.7127941321869	186.771108964512
BelleGueuleRousse50x	2719.23636976336	4700.60120581769	1345.20513679918	778.012086219684	604.35737860439	392.070452609621	296.932407254819	150.028751856801
UnibroueFinduMonde50x	7185.19109635291	6667.89700900166	967.911882258087	393.651717625457	754.469962252306	545.3563016544	264.789742010291	585.796331636209
JFCidre50x	172.041739263611	1416.16820100308	32.2675317954315	25.1406184476254	0	386.119376221176	12.0495265192859	159.691235612463
McAuslanCitrouille50x	47.5673976576645	6207.78898971501	5305.78618866117	923.590217840036	883.586407242998	1085.91109183822	447.028847209554	270.713392555229
BGHanami50x	966.941775340603	3281.98962287989	4916.54947788297	183.410989980841	97.8206818667423	0	66.3928407965588	127.119707233406
RasLBockPtiteVingnenne50x	549.798740827551	1980.83585722788	3615.76790481034	156.81442258621	103.988328336315	100.342565931798	45.6082517860512	111.415712594178
UnibroueMaudite50x	762.541387909771	3770.5976623957	4470.48659199878	513.850371366195	438.868413772443	330.782254768403	205.159593670902	219.303828250464
